,Week,County Name,Cases,Deaths,Start of Week Date
0,9,Alameda,1,0.0,2020-03-02
6,10,Alameda,3,0.0,2020-03-09
17,11,Alameda,37,0.0,2020-03-16
33,12,Alameda,127,0.0,2020-03-23
51,13,Alameda,291,6.0,2020-03-30
70,14,Alameda,587,12.0,2020-04-06
89,15,Alameda,864,23.0,2020-04-13
108,16,Alameda,1185,42.0,2020-04-20
127,17,Alameda,1489,52.0,2020-04-27
146,18,Alameda,1770,63.0,2020-05-04
165,19,Alameda,2085,75.0,2020-05-11
184,20,Alameda,2413,85.0,2020-05-18
203,21,Alameda,2868,93.0,2020-05-25
222,22,Alameda,3411,103.0,2020-06-01
241,23,Alameda,3895,104.0,2020-06-08
260,24,Alameda,4341,112.0,2020-06-15
279,25,Alameda,4826,119.0,2020-06-22
298,26,Alameda,5691,133.0,2020-06-29
317,27,Alameda,6876,140.0,2020-07-06
336,28,Alameda,7866,148.0,2020-07-13
355,29,Alameda,9258,162.0,2020-07-20
374,30,Alameda,10391,178.0,2020-07-27
393,31,Alameda,11611,189.0,2020-08-03
412,32,Alameda,13108,193.0,2020-08-10
431,33,Alameda,15186,221.0,2020-08-17
450,34,Alameda,16744,234.0,2020-08-24
469,35,Alameda,18061,258.0,2020-08-31
488,36,Alameda,19152,299.0,2020-09-07
507,37,Alameda,20012,332.0,2020-09-14
526,38,Alameda,20579,374.0,2020-09-21
545,39,Alameda,21210,406.0,2020-09-28
564,40,Alameda,21729,426.0,2020-10-05
583,41,Alameda,22170,441.0,2020-10-12
602,42,Alameda,22657,442.0,2020-10-19
621,43,Alameda,23333,461.0,2020-10-26
640,44,Alameda,24015,464.0,2020-11-02
659,45,Alameda,24872,475.0,2020-11-09
678,46,Alameda,25893,490.0,2020-11-16
697,47,Alameda,27506,499.0,2020-11-23
716,48,Alameda,29137,511.0,2020-11-30
7,10,Contra Costa,9,0.0,2020-03-09
18,11,Contra Costa,25,0.0,2020-03-16
34,12,Contra Costa,61,1.0,2020-03-23
52,13,Contra Costa,175,3.0,2020-03-30
71,14,Contra Costa,386,6.0,2020-04-06
90,15,Contra Costa,539,11.0,2020-04-13
109,16,Contra Costa,693,20.0,2020-04-20
128,17,Contra Costa,817,25.0,2020-04-27
147,18,Contra Costa,945,28.0,2020-05-04
166,19,Contra Costa,1048,32.0,2020-05-11
185,20,Contra Costa,1146,33.0,2020-05-18
204,21,Contra Costa,1321,36.0,2020-05-25
223,22,Contra Costa,1450,37.0,2020-06-01
242,23,Contra Costa,1668,39.0,2020-06-08
261,24,Contra Costa,1959,44.0,2020-06-15
280,25,Contra Costa,2294,62.0,2020-06-22
299,26,Contra Costa,2802,74.0,2020-06-29
318,27,Contra Costa,3662,81.0,2020-07-06
337,28,Contra Costa,4661,90.0,2020-07-13
356,29,Contra Costa,5617,98.0,2020-07-20
375,30,Contra Costa,6933,104.0,2020-07-27
394,31,Contra Costa,7966,125.0,2020-08-03
413,32,Contra Costa,9182,139.0,2020-08-10
432,33,Contra Costa,11228,157.0,2020-08-17
451,34,Contra Costa,12663,169.0,2020-08-24
470,35,Contra Costa,13802,175.0,2020-08-31
489,36,Contra Costa,14527,186.0,2020-09-07
508,37,Contra Costa,15351,192.0,2020-09-14
527,38,Contra Costa,15958,201.0,2020-09-21
546,39,Contra Costa,16640,206.0,2020-09-28
565,40,Contra Costa,17263,212.0,2020-10-05
584,41,Contra Costa,17566,230.0,2020-10-12
603,42,Contra Costa,18005,234.0,2020-10-19
622,43,Contra Costa,18567,241.0,2020-10-26
641,44,Contra Costa,19161,246.0,2020-11-02
660,45,Contra Costa,19899,251.0,2020-11-09
679,46,Contra Costa,20975,253.0,2020-11-16
698,47,Contra Costa,22482,258.0,2020-11-23
717,48,Contra Costa,23895,261.0,2020-11-30
8,10,Fresno,1,0.0,2020-03-09
19,11,Fresno,2,0.0,2020-03-16
35,12,Fresno,10,0.0,2020-03-23
53,13,Fresno,43,0.0,2020-03-30
72,14,Fresno,108,1.0,2020-04-06
91,15,Fresno,201,5.0,2020-04-13
110,16,Fresno,315,7.0,2020-04-20
129,17,Fresno,458,7.0,2020-04-27
148,18,Fresno,633,8.0,2020-05-04
167,19,Fresno,885,9.0,2020-05-11
186,20,Fresno,1192,16.0,2020-05-18
205,21,Fresno,1482,22.0,2020-05-25
224,22,Fresno,1744,35.0,2020-06-01
243,23,Fresno,2122,43.0,2020-06-08
262,24,Fresno,2547,52.0,2020-06-15
281,25,Fresno,3245,66.0,2020-06-22
300,26,Fresno,4474,72.0,2020-06-29
319,27,Fresno,6110,77.0,2020-07-06
338,28,Fresno,8282,88.0,2020-07-13
357,29,Fresno,10381,100.0,2020-07-20
376,30,Fresno,12866,112.0,2020-07-27
395,31,Fresno,15448,138.0,2020-08-03
414,32,Fresno,17538,171.0,2020-08-10
433,33,Fresno,20603,203.0,2020-08-17
452,34,Fresno,23197,226.0,2020-08-24
471,35,Fresno,24821,263.0,2020-08-31
490,36,Fresno,26325,312.0,2020-09-07
509,37,Fresno,27076,337.0,2020-09-14
528,38,Fresno,27668,355.0,2020-09-21
547,39,Fresno,28336,382.0,2020-09-28
566,40,Fresno,28975,399.0,2020-10-05
585,41,Fresno,29286,406.0,2020-10-12
604,42,Fresno,29911,429.0,2020-10-19
623,43,Fresno,30752,436.0,2020-10-26
642,44,Fresno,31594,443.0,2020-11-02
661,45,Fresno,32497,454.0,2020-11-09
680,46,Fresno,33969,460.0,2020-11-16
699,47,Fresno,35973,471.0,2020-11-23
718,48,Fresno,37994,481.0,2020-11-30
36,12,Imperial,4,0.0,2020-03-23
54,13,Imperial,25,0.0,2020-03-30
73,14,Imperial,57,1.0,2020-04-06
92,15,Imperial,87,3.0,2020-04-13
111,16,Imperial,160,2.0,2020-04-20
130,17,Imperial,251,8.0,2020-04-27
149,18,Imperial,358,8.0,2020-05-04
168,19,Imperial,512,11.0,2020-05-11
187,20,Imperial,786,14.0,2020-05-18
206,21,Imperial,1283,22.0,2020-05-25
225,22,Imperial,2091,26.0,2020-06-01
244,23,Imperial,3047,32.0,2020-06-08
263,24,Imperial,4157,42.0,2020-06-15
282,25,Imperial,4800,63.0,2020-06-22
301,26,Imperial,6041,80.0,2020-06-29
320,27,Imperial,7039,113.0,2020-07-06
339,28,Imperial,7827,134.0,2020-07-13
358,29,Imperial,8531,160.0,2020-07-20
377,30,Imperial,9067,180.0,2020-07-27
396,31,Imperial,9409,219.0,2020-08-03
415,32,Imperial,9693,243.0,2020-08-10
434,33,Imperial,10058,256.0,2020-08-17
453,34,Imperial,10393,271.0,2020-08-24
472,35,Imperial,10667,292.0,2020-08-31
491,36,Imperial,11041,295.0,2020-09-07
510,37,Imperial,11274,307.0,2020-09-14
529,38,Imperial,11558,313.0,2020-09-21
548,39,Imperial,11835,316.0,2020-09-28
567,40,Imperial,12047,325.0,2020-10-05
586,41,Imperial,12145,328.0,2020-10-12
605,42,Imperial,12410,334.0,2020-10-19
624,43,Imperial,12700,335.0,2020-10-26
643,44,Imperial,13038,337.0,2020-11-02
662,45,Imperial,13398,340.0,2020-11-09
681,46,Imperial,13932,347.0,2020-11-16
700,47,Imperial,15053,352.0,2020-11-23
719,48,Imperial,15960,355.0,2020-11-30
37,12,Kern,5,0.0,2020-03-23
55,13,Kern,51,1.0,2020-03-30
74,14,Kern,225,2.0,2020-04-06
