week number,week,race_ethnicity,cases,case_percentage,deaths,death_percentage
16,2020-04-20,American Indian or Alaska Native,33,0.23,3,0.5
16,2020-04-20,Asian,1902,12.97,98,16.36
16,2020-04-20,Black,1030,7.03,61,10.18
16,2020-04-20,Latino,5276,35.99,170,28.38
16,2020-04-20,Multiracial,268,1.83,8,1.34
16,2020-04-20,Native Hawaiian or Pacific Islander,243,1.66,4,0.67
16,2020-04-20,Other,1269,8.66,9,1.5
16,2020-04-20,White,4639,31.64,246,41.07
17,2020-04-27,American Indian or Alaska Native,43,0.19,4,0.37
17,2020-04-27,Asian,2741,12.22,175,16.14
17,2020-04-27,Black,1479,6.59,130,11.99
17,2020-04-27,Latino,9090,40.52,337,31.09
17,2020-04-27,Multiracial,876,3.9,16,1.48
17,2020-04-27,Native Hawaiian or Pacific Islander,315,1.4,14,1.29
17,2020-04-27,Other,1632,7.27,20,1.85
17,2020-04-27,White,6257,27.89,388,35.79
18,2020-05-04,American Indian or Alaska Native,63,0.22,7,0.42
18,2020-05-04,Asian,3609,12.42,283,17.03
18,2020-05-04,Black,1903,6.55,177,10.65
18,2020-05-04,Latino,12890,44.37,555,33.39
18,2020-05-04,Multiracial,238,0.82,4,0.24
18,2020-05-04,Native Hawaiian or Pacific Islander,372,1.28,18,1.08
18,2020-05-04,Other,1911,6.58,36,2.17
18,2020-05-04,White,8064,27.76,582,35.02
19,2020-05-11,American Indian or Alaska Native,72,0.2,7,0.3
19,2020-05-11,Asian,4383,11.6,361,16.9
19,2020-05-11,Black,2363,6.3,220,10.3
19,2020-05-11,Latino,18087,48.0,740,34.6
19,2020-05-11,Multiracial,324,0.9,8,0.4
19,2020-05-11,Native Hawaiian or Pacific Islander,420,1.1,20,0.9
19,2020-05-11,Other,2275,6.0,36,1.7
19,2020-05-11,White,9724,25.8,744,34.8
20,2020-05-18,American Indian or Alaska Native,89,0.2,9,0.3
20,2020-05-18,Asian,5091,11.1,425,16.1
20,2020-05-18,Black,2812,6.1,271,10.3
20,2020-05-18,Latino,23511,51.2,946,35.8
20,2020-05-18,Multiracial,405,0.9,14,0.5
20,2020-05-18,Native Hawaiian or Pacific Islander,463,1.0,24,0.9
20,2020-05-18,Other,2575,5.6,36,1.4
20,2020-05-18,White,10997,23.9,914,34.6
21,2020-05-25,American Indian or Alaska Native,111,0.2,14,0.4
21,2020-05-25,Asian,6003,10.6,475,14.9
21,2020-05-25,Black,3334,5.9,323,10.2
21,2020-05-25,Latino,30391,53.5,1187,37.4
21,2020-05-25,Multiracial,504,0.9,21,0.7
21,2020-05-25,Native Hawaiian or Pacific Islander,542,1.0,27,0.8
21,2020-05-25,Other,2984,5.3,35,1.1
21,2020-05-25,White,12960,22.8,1096,34.5
22,2020-06-01,American Indian or Alaska Native,137,0.2,14,0.4
22,2020-06-01,Asian,6642,9.8,533,14.8
22,2020-06-01,Black,3757,5.6,363,10.1
22,2020-06-01,Latino,36850,54.6,1373,38.1
22,2020-06-01,Multiracial,571,0.8,24,0.7
22,2020-06-01,Native Hawaiian or Pacific Islander,577,0.9,28,0.8
22,2020-06-01,Other,4515,6.7,35,1.0
22,2020-06-01,White,14498,21.5,1236,34.3
23,2020-06-08,American Indian or Alaska Native,170,0.2,14,0.3
23,2020-06-08,Asian,7291,9.0,601,14.8
23,2020-06-08,Black,4218,5.2,408,10.0
23,2020-06-08,Latino,43951,54.2,1582,39.0
23,2020-06-08,Multi-Race,625,0.8,26,0.6
23,2020-06-08,Native Hawaiian and other Pacific Islander,631,0.8,30,0.7
23,2020-06-08,Other,8140,10.0,30,0.7
23,2020-06-08,White,16114,19.9,1369,33.7
24,2020-06-15,American Indian or Alaska Native,195,0.2,14,0.3
24,2020-06-15,Asian,8088,8.1,691,14.7
24,2020-06-15,Black,4777,4.8,454,9.7
24,2020-06-15,Latino,55439,55.8,1888,40.2
24,2020-06-15,Multi-Race,725,0.7,32,0.7
24,2020-06-15,Native Hawaiian and other Pacific Islander,721,0.7,21,0.4
24,2020-06-15,Other,11136,11.2,40,0.9
24,2020-06-15,White,18312,18.4,1553,33.1
