week number,week,county,hospitalized_covid_confirmed_patients,icu_covid_confirmed_patients,icu_available_beds
13,2020-03-30,Alameda,36,20,119
14,2020-04-06,Alameda,59,27,146
15,2020-04-13,Alameda,79,43,92
16,2020-04-20,Alameda,85,40,58
17,2020-04-27,Alameda,85,38,59
18,2020-05-04,Alameda,81,39,183
19,2020-05-11,Alameda,73,31,163
20,2020-05-18,Alameda,78,36,125
21,2020-05-25,Alameda,87,42,120
22,2020-06-01,Alameda,91,40,115
23,2020-06-08,Alameda,97,37,134
24,2020-06-15,Alameda,92,31,144
25,2020-06-22,Alameda,98,37,148
26,2020-06-29,Alameda,78,30,196
27,2020-07-06,Alameda,111,38,138
28,2020-07-13,Alameda,142,50,132
29,2020-07-20,Alameda,152,52,144
30,2020-07-27,Alameda,171,51,121
31,2020-08-03,Alameda,198,65,98
32,2020-08-10,Alameda,193,55,84
33,2020-08-17,Alameda,166,56,90
34,2020-08-24,Alameda,205,69,82
35,2020-08-31,Alameda,179,69,92
36,2020-09-07,Alameda,173,46,96
37,2020-09-14,Alameda,148,38,113
38,2020-09-21,Alameda,118,33,117
39,2020-09-28,Alameda,96,36,115
40,2020-10-05,Alameda,79,25,125
41,2020-10-12,Alameda,73,23,110
42,2020-10-19,Alameda,61,19,124
43,2020-10-26,Alameda,53,20,128
44,2020-11-02,Alameda,58,17,114
45,2020-11-09,Alameda,69,17,126
46,2020-11-16,Alameda,63,18,113
47,2020-11-23,Alameda,89,24,110
48,2020-11-30,Alameda,123,26,104
13,2020-03-30,Amador,1,0,2
14,2020-04-06,Amador,0,0,4
15,2020-04-13,Amador,0,0,2
16,2020-04-20,Amador,0,0,3
17,2020-04-27,Amador,0,0,4
18,2020-05-04,Amador,0,0,5
19,2020-05-11,Amador,0,0,3
20,2020-05-18,Amador,0,0,2
21,2020-05-25,Amador,0,0,4
22,2020-06-01,Amador,0,0,1
23,2020-06-08,Amador,0,0,4
24,2020-06-15,Amador,0,0,3
25,2020-06-22,Amador,1,0,0
26,2020-06-29,Amador,0,0,0
27,2020-07-06,Amador,1,1,1
28,2020-07-13,Amador,1,1,2
29,2020-07-20,Amador,1,1,3
30,2020-07-27,Amador,2,0,0
31,2020-08-03,Amador,3,1,1
32,2020-08-10,Amador,10,4,0
33,2020-08-17,Amador,7,2,2
34,2020-08-24,Amador,7,2,2
35,2020-08-31,Amador,4,0,4
36,2020-09-07,Amador,1,0,3
37,2020-09-14,Amador,2,0,4
38,2020-09-21,Amador,0,0,6
39,2020-09-28,Amador,1,0,3
